iter	Passed	Remaining
0	3	13213
1	5	11558
2	7	10407
3	9	9774
4	11	9391
5	13	9157
6	15	8934
7	17	8755
8	19	8817
9	22	8891
10	24	8874
11	26	8821
12	28	8784
13	30	8713
14	32	8656
15	34	8659
16	37	8675
17	39	8644
18	41	8676
19	43	8650
20	45	8611
21	47	8576
22	49	8598
23	52	8648
24	54	8690
25	56	8664
26	58	8656
27	60	8650
28	63	8645
29	65	8624
30	67	8638
31	69	8662
32	72	8669
33	74	8671
34	76	8670
35	78	8664
36	80	8662
37	83	8657
38	85	8709
39	88	8713
40	90	8718
41	92	8710
42	94	8705
43	96	8696
44	98	8699
45	101	8730
46	103	8726
47	106	8788
48	108	8770
49	110	8757
50	112	8740
51	115	8745
52	117	8774
53	120	8769
54	122	8780
55	124	8768
56	126	8756
57	128	8745
58	130	8743
59	133	8753
60	135	8742
61	137	8762
62	140	8772
63	142	8771
64	144	8762
65	147	8765
66	149	8784
67	152	8798
68	154	8799
69	157	8822
70	159	8817
71	161	8824
72	164	8826
73	166	8816
74	168	8806
75	170	8799
76	173	8817
77	175	8811
78	177	8804
79	179	8797
80	181	8794
81	183	8788
82	186	8780
83	188	8790
84	191	8806
85	193	8808
86	195	8806
87	197	8800
88	200	8797
89	202	8799
90	205	8812
91	207	8812
92	209	8809
93	211	8804
94	214	8801
95	216	8797
96	218	8806
97	221	8816
98	223	8811
99	225	8805
100	228	8801
101	230	8801
102	232	8794
103	235	8805
104	237	8821
105	240	8822
106	242	8818
107	244	8810
108	246	8806
109	249	8808
110	251	8810
111	254	8830
112	256	8829
113	258	8827
114	261	8826
115	264	8843
116	266	8848
117	269	8859
118	271	8857
119	274	8862
120	276	8856
121	278	8852
122	280	8848
123	282	8845
124	285	8851
125	288	8856
126	290	8853
127	292	8850
128	294	8846
129	297	8845
130	299	8844
131	301	8848
132	304	8848
133	306	8845
134	308	8842
135	311	8837
136	313	8832
137	315	8833
138	318	8836
139	320	8833
140	322	8832
141	325	8839
142	327	8838
143	330	8842
144	333	8861
145	336	8872
146	338	8871
147	340	8869
148	343	8866
149	345	8862
150	347	8865
151	350	8873
152	352	8875
153	355	8872
154	357	8871
155	360	8871
156	362	8873
157	365	8878
158	367	8883
159	370	8882
160	372	8877
161	374	8882
162	377	8883
163	379	8884
164	382	8893
165	385	8898
166	387	8896
167	390	8898
168	392	8894
169	395	8901
170	397	8911
171	400	8911
172	402	8912
173	405	8910
174	407	8911
175	410	8911
176	412	8916
177	415	8915
178	417	8913
179	420	8917
180	422	8914
181	424	8910
182	427	8914
183	430	8923
184	432	8919
185	434	8914
186	437	8912
187	439	8911
188	441	8910
189	444	8920
190	447	8922
191	449	8918
192	451	8915
193	454	8911
194	456	8907
195	459	8910
196	461	8913
197	464	8919
198	467	8929
199	470	8936
200	473	8951
201	476	8953
202	479	8960
203	481	8958
204	483	8954
205	486	8952
206	488	8950
207	490	8949
208	493	8954
209	496	8955
210	498	8954
211	500	8951
212	503	8950
213	505	8949
214	508	8953
215	511	8952
216	513	8949
217	515	8944
218	517	8940
219	520	8937
220	522	8935
221	525	8939
222	527	8940
223	530	8935
224	532	8930
225	534	8931
226	537	8936
227	540	8940
228	542	8941
229	545	8941
230	547	8938
231	550	8939
232	553	8941
233	555	8938
234	558	8944
235	560	8944
236	563	8941
237	565	8945
238	568	8946
239	571	8945
240	573	8946
241	576	8949
242	578	8938
243	580	8939
244	583	8941
245	585	8941
246	588	8947
247	591	8953
248	594	8956
249	597	8957
250	599	8957
251	602	8959
252	605	8963
253	608	8969
254	610	8972
255	613	8974
256	616	8976
257	619	8978
258	622	8987
259	625	8991
260	627	8993
261	630	8993
262	632	8994
263	635	8993
264	638	8998
265	641	9003
266	644	9005
267	646	9006
268	649	9008
269	651	8994
270	654	9002
271	656	9004
272	659	9006
273	662	9007
274	665	9009
275	667	9010
276	670	9015
277	673	9017
278	676	9018
279	678	9016
280	681	9015
281	684	9018
282	686	9020
283	689	9021
284	692	9022
285	694	9020
286	696	9017
287	699	9018
288	702	9019
289	705	9019
290	707	9018
291	710	9017
292	712	9018
293	715	9019
294	718	9021
295	721	9023
296	723	9021
297	726	9020
298	728	9019
299	731	9016
300	733	9020
301	736	9024
302	739	9022
303	741	9019
304	744	9016
305	745	9000
306	748	8999
307	751	9002
308	753	8999
309	755	8996
310	758	8992
311	760	8994
312	763	8997
313	766	9001
314	769	8998
315	771	8995
316	774	8994
317	776	8992
318	779	8991
319	782	8995
320	784	8996
321	787	8995
322	789	8991
323	792	8987
324	794	8982
325	796	8981
326	799	8978
327	801	8976
328	804	8974
329	806	8971
330	809	8968
331	811	8967
332	814	8967
333	817	8967
334	819	8963
335	821	8959
336	824	8958
337	826	8954
338	829	8957
339	832	8956
340	834	8958
341	837	8959
342	840	8958
343	843	8959
344	846	8963
345	848	8965
346	851	8966
347	854	8966
348	857	8966
349	859	8964
350	862	8967
351	865	8967
352	867	8966
353	870	8965
354	873	8964
355	875	8966
356	878	8969
357	881	8969
358	884	8970
359	887	8970
360	889	8971
361	892	8973
362	895	8974
363	898	8974
364	901	8974
365	903	8971
366	906	8971
367	909	8972
368	912	8974
369	914	8973
370	917	8972
371	920	8972
372	922	8970
373	925	8972
374	928	8975
375	931	8975
376	933	8974
377	936	8971
378	938	8968
379	941	8968
380	943	8961
381	946	8961
382	949	8963
383	951	8963
384	954	8962
385	957	8961
386	960	8963
387	962	8962
388	965	8960
389	967	8958
390	970	8956
391	973	8956
392	975	8954
393	977	8950
394	980	8947
395	982	8945
396	985	8942
397	988	8942
398	990	8940
399	993	8937
400	995	8934
401	997	8931
402	1000	8929
403	1002	8927
