num,date_time,전력사용량(kWh),기온(°C),풍속(m/s),습도(%),강수량(mm),일조(hr),비전기냉방설비운영,태양광보유
1,2020-06-01 00,8179.056,17.6,2.5,92.0,0.8,0.0,0.0,0.0
1,2020-06-01 01,8135.64,17.7,2.9,91.0,0.3,0.0,0.0,0.0
1,2020-06-01 02,8107.1280000000015,17.5,3.2,91.0,0.0,0.0,0.0,0.0
1,2020-06-01 03,8048.808000000001,17.1,3.2,91.0,0.0,0.0,0.0,0.0
1,2020-06-01 04,8043.624,17.0,3.3,92.0,0.0,0.0,0.0,0.0
1,2020-06-01 05,8010.576,16.9,3.4,93.0,0.0,0.0,0.0,0.0
1,2020-06-01 06,7978.175999999998,16.7,3.4,90.0,0.1,0.0,0.0,0.0
1,2020-06-01 07,8019.0,16.9,2.3,86.0,0.0,0.1,0.0,0.0
1,2020-06-01 08,8020.944,17.8,3.3,80.0,0.0,0.3,0.0,0.0
1,2020-06-01 09,8083.151999999999,19.3,2.1,73.0,0.0,0.7,0.0,0.0
1,2020-06-01 10,8116.2,20.5,3.4,62.0,0.0,1.0,0.0,0.0
1,2020-06-01 11,8104.536,22.1,3.6,52.0,0.0,1.0,0.0,0.0
1,2020-06-01 12,8088.984,23.1,4.0,49.0,0.0,1.0,0.0,0.0
1,2020-06-01 13,8102.592,23.1,5.1,42.0,0.0,1.0,0.0,0.0
1,2020-06-01 14,8088.335999999998,23.6,5.1,39.0,0.0,1.0,0.0,0.0
1,2020-06-01 15,8076.672,23.8,5.5,40.0,0.0,1.0,0.0,0.0
1,2020-06-01 16,8032.608,24.4,3.0,39.0,0.0,1.0,0.0,0.0
1,2020-06-01 17,8013.816,23.6,4.4,41.0,0.0,1.0,0.0,0.0
1,2020-06-01 18,8029.368,22.7,4.1,42.0,0.0,1.0,0.0,0.0
1,2020-06-01 19,8028.071999999999,21.3,4.2,44.0,0.0,1.0,0.0,0.0
1,2020-06-01 20,7994.376,19.8,2.5,51.0,0.0,0.4,0.0,0.0
1,2020-06-01 21,7974.936,18.6,2.5,55.0,0.0,0.0,0.0,0.0
1,2020-06-01 22,7972.991999999998,17.9,2.0,62.0,0.0,0.0,0.0,0.0
1,2020-06-01 23,7945.1280000000015,17.2,2.0,68.0,0.0,0.0,0.0,0.0
1,2020-06-02 00,7920.504,16.6,1.6,74.0,0.0,0.0,0.0,0.0
1,2020-06-02 01,7890.048000000002,16.2,0.8,77.0,0.0,0.0,0.0,0.0
1,2020-06-02 02,7868.016,15.9,1.1,78.0,0.0,0.0,0.0,0.0
1,2020-06-02 03,7847.28,15.7,0.4,78.0,0.0,0.0,0.0,0.0
1,2020-06-02 04,7799.328,15.5,0.9,79.0,0.0,0.0,0.0,0.0
